"Name","API Name","Instance Memory","vCPUs","GiB of Memory per vCPU","Instance Storage","Network Performance","Linux On Demand cost"
"G5G Quadruple Extra Large","g5g.4xlarge","32.0 GiB","16 vCPUs","2.00 GiB/vCPU","EBS only","Up to 10 Gigabit","$0.8280 hourly"
"X2IEDN Extra Large","x2iedn.xlarge","128.0 GiB","4 vCPUs","32.00 GiB/vCPU","118 GB                 NVMe SSD","Up to 25 Gigabit","$0.8336 hourly"
"X1E Extra Large","x1e.xlarge","122.0 GiB","4 vCPUs","30.50 GiB/vCPU","120 GB                 SSD","Up to 10 Gigabit","$0.8340 hourly"
"C3 High-CPU Quadruple Extra Large","c3.4xlarge","30.0 GiB","16 vCPUs","1.88 GiB/vCPU","320 GB                 (2 * 160 GB SSD)","High","$0.8400 hourly"
"I2 Extra Large","i2.xlarge","30.5 GiB","4 vCPUs","7.62 GiB/vCPU","800 GB                 SSD","Moderate","$0.8530 hourly"
"R7G Quadruple Extra Large","r7g.4xlarge","128.0 GiB","16 vCPUs","8.00 GiB/vCPU","EBS only","Up to 15 Gigabit","$0.8568 hourly"
"C5N Quadruple Extra Large","c5n.4xlarge","42.0 GiB","16 vCPUs","2.62 GiB/vCPU","EBS only","Up to 25 Gigabit","$0.8640 hourly"
"G4AD Quadruple Extra Large","g4ad.4xlarge","64.0 GiB","16 vCPUs","4.00 GiB/vCPU","600 GB                 NVMe SSD","Up to 10 Gigabit","$0.8670 hourly"
"P2 General Purpose GPU Extra Large","p2.xlarge","61.0 GiB","4 vCPUs","15.25 GiB/vCPU","EBS only","High","$0.9000 hourly"
"I3EN Double Extra Large","i3en.2xlarge","64.0 GiB","8 vCPUs","8.00 GiB/vCPU","5000 GB                 (2 * 2500 GB NVMe SSD)","Up to 25 Gigabit","$0.9040 hourly"
"M5 General Purpose Quadruple Extra Large","m5d.4xlarge","64.0 GiB","16 vCPUs","4.00 GiB/vCPU","600 GB                 (2 * 300 GB NVMe SSD)","Up to 10 Gigabit","$0.9040 hourly"
"R5A Quadruple Extra Large","r5a.4xlarge","128.0 GiB","16 vCPUs","8.00 GiB/vCPU","EBS only","Up to 10 Gigabit","$0.9040 hourly"
"R6A Quadruple Extra Large","r6a.4xlarge","128.0 GiB","16 vCPUs","8.00 GiB/vCPU","EBS only","Up to 12.5 Gigabit","$0.9072 hourly"
"C6IN Quadruple Extra Large","c6in.4xlarge","32.0 GiB","16 vCPUs","2.00 GiB/vCPU","EBS only","Up to 50 Gigabit","$0.9072 hourly"
"R6GD Quadruple Extra Large","r6gd.4xlarge","128.0 GiB","16 vCPUs","8.00 GiB/vCPU","950 GB                 NVMe SSD","Up to 10 Gigabit","$0.9216 hourly"
"H1 Quadruple Extra Large","h1.4xlarge","64.0 GiB","16 vCPUs","4.00 GiB/vCPU","4000 GB                 (2 * 2000 GB HDD)","Up to 10 Gigabit","$0.9360 hourly"
"M6ID Quadruple Extra Large","m6id.4xlarge","64.0 GiB","16 vCPUs","4.00 GiB/vCPU","950 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.9492 hourly"
"M5N Quadruple Extra Large","m5n.4xlarge","64.0 GiB","16 vCPUs","4.00 GiB/vCPU","EBS only","Up to 25 Gigabit","$0.9520 hourly"
"M2 High Memory Quadruple Extra Large","m2.4xlarge","68.4 GiB","8 vCPUs","8.55 GiB/vCPU","1680 GB                 (2 * 840 GB HDD)","High","$0.9800 hourly"
"M5ZN 3xlarge","m5zn.3xlarge","48.0 GiB","12 vCPUs","4.00 GiB/vCPU","EBS only","Up to 25 Gigabit","$0.9910 hourly"
"D3 Double Extra Large","d3.2xlarge","64.0 GiB","8 vCPUs","8.00 GiB/vCPU","11880 GB                 (6 * 1980 GB NVMe HDD)","Up to 15 Gigabit","$0.9990 hourly"
"G5 Graphics and Machine Learning GPU Extra Large","g5.xlarge","16.0 GiB","4 vCPUs","4.00 GiB/vCPU","250 GB                 NVMe SSD","Up to 10 Gigabit","$1.0060 hourly"
"R6I Quadruple Extra Large","r6i.4xlarge","128.0 GiB","16 vCPUs","8.00 GiB/vCPU","EBS only","Up to 12.5 Gigabit","$1.0080 hourly"
"R5 Quadruple Extra Large","r5.4xlarge","128.0 GiB","16 vCPUs","8.00 GiB/vCPU","EBS only","Up to 10 Gigabit","$1.0080 hourly"
"R5AD Quadruple Extra Large","r5ad.4xlarge","128.0 GiB","16 vCPUs","8.00 GiB/vCPU","600 GB                 (2 * 300 GB NVMe SSD)","Up to 10 Gigabit","$1.0480 hourly"
"D3EN Double Extra Large","d3en.2xlarge","32.0 GiB","8 vCPUs","4.00 GiB/vCPU","55920 GB                 (4 * 13980 GB NVMe HDD)","Up to 25 Gigabit","$1.0510 hourly"
"R4 High-Memory Quadruple Extra Large","r4.4xlarge","122.0 GiB","16 vCPUs","7.62 GiB/vCPU","EBS only","Up to 10 Gigabit","$1.0640 hourly"
"M5DN Quadruple Extra Large","m5dn.4xlarge","64.0 GiB","16 vCPUs","4.00 GiB/vCPU","600 GB                 (2 * 300 GB NVMe SSD)","Up to 25 Gigabit","$1.0880 hourly"
"C6G Eight Extra Large","c6g.8xlarge","64.0 GiB","32 vCPUs","2.00 GiB/vCPU","EBS only","12 Gigabit","$1.0880 hourly"
"M6IN Quadruple Extra Large","m6in.4xlarge","64.0 GiB","16 vCPUs","4.00 GiB/vCPU","EBS only","Up to 50 Gigabit","$1.1138 hourly"
"Z1D 3xlarge","z1d.3xlarge","96.0 GiB","12 vCPUs","8.00 GiB/vCPU","450 GB                 NVMe SSD","Up to 10 Gigabit","$1.1160 hourly"
"G3 Graphics GPU Quadruple Extra Large","g3.4xlarge","122.0 GiB","16 vCPUs","7.62 GiB/vCPU","EBS only","Up to 10 Gigabit","$1.1400 hourly"
"R5D Quadruple Extra Large","r5d.4xlarge","128.0 GiB","16 vCPUs","8.00 GiB/vCPU","600 GB                 (2 * 300 GB NVMe SSD)","Up to 10 Gigabit","$1.1520 hourly"
"IS4GEN Double Extra Large","is4gen.2xlarge","48.0 GiB","8 vCPUs","6.00 GiB/vCPU","7500 GB                 NVMe SSD","Up to 25 Gigabit","$1.1526 hourly"
"C7G Eight Extra Large","c7g.8xlarge","64.0 GiB","32 vCPUs","2.00 GiB/vCPU","EBS only","15 Gigabit","$1.1600 hourly"
"INF1 6xlarge","inf1.6xlarge","48.0 GiB","24 vCPUs","2.00 GiB/vCPU","EBS only","25 Gigabit","$1.1800 hourly"
